"",Dealer Name,Mailing & Business Address,City,County,Zip
76222,"How Sweet It Is, Inc",3601 Stockyard Rd,Eden,Wicomico,21822
85817,Ingleside Outdoors,3142 Goldsboro Road,Henderson,Queen Anne's,21640
82901,J & S Pawn,133 East Main St.,Frostburg,Allegany,21532
91401,J & S Pawn,133 E. Main St.,Frostburg,Allegany,21532
61720,J and J Guns,509 August Street,Easton,Talbot,21601
61402,J. L. Suite,559 Mayo Road,Edgewater,Anne Arundel,21037
80807,J. Lowes Guns,543 Kirks Mill Ln,North East,Cecil,21901
27912,"J&K Associates, Inc.",2145 Pulaski Highway,Havre De Grace,Harford,21078
18501,Jacob's Arms and Ammo,13003 6th Ave,Cresaptown,Allegany,21502
91121,"JMAC Firearms, LLC",19920 Alva Ct,Keedysville,Washington,21756
87818,Job Smart Inc. DBA Gym Ratz Nutrition,28943 Three Notch Rd Ste 3,Mechanicsville,St. Mary's,20659
26716,John M Brinkley,8706 Armstrong Lane,Upper Marlboro,Prince George's,20772
67206,John's Gun Repair,3000 Merle Court,New Windsor,Carroll,21776
71002,Joly Enterprises,2914 Mountain Rd,Pasadena,Anne Arundel,21122
15400,Jonathan Melnick Auctioneers,912/914 E. 25th Street,Baltimore,Baltimore City,21218
88002,"Jones Securities, LLC",8009 Jumpers Hole Rd Ste H,Pasadena,Anne Arundel,21122
90018,"Jones, Donald B.",48292 Mulberry Ln,Saint Inigoes,St. Mary's,20684
86812,JRG Wholesale,1831 Midsummer Ln,Jarrettsville,Harford,21084
80708,"Karpfany, LLC",2726 Albermarle Place,Waldorf,Charles,20601
86112,"Kavanagh Electric Company, Inc.",3723 Rush Rd.,Jarrettsville,Harford,21084
85702,KDF Trading,7647 Pleasant Drive,Pasadena,Anne Arundel,21122
91808,Keiths Gunworks,10155 Weedon Rd.,Newburg,Charles,20664
80622,Kendall Firearms,5881 Polk Ln,Parsonburg,Wicomico,21849
61201,Kerr Brother's Gun,323 Virginia Ave.,Cumberland,Allegany,21502
64721,"Keystone Sporting Goods, Inc.",13611 Pennsylvania Ave.,Hagerstown,Washington,21742
57403,Kings Mountain,3623 Latham Rd,Baltimore,Baltimore City,21207
85923,Klej Garage Firearms,2992 Betheden Church Rd.,Pocomoke,Worcester,21851
90206,Kronk's Custom Firearms,115 E. Baltimore St,Taneytown,Carroll,21787
84117,"KRPFA, LLC","104 Quail Run Dr,",Centreville,Queen Anne's,21617
72223,"Larrys Trading Post, LLC",9927 Stephen Decatur Hwy f7,Ocean City,Worcester,20879
86518,Legion Rifles/LEIM,25506 Petal Ct,Mechanicsville,St. Mary's,20659
15623,Littleton Firearms,13105 Ames Road PO. Box 372,Bishopville,Worcester,21813
65606,"Lock Stock & Barrel, LLC",76 Frederick Street,Taneytown,Carroll,21787
82006,"Long Shot Guns, LLC",4815 Bartholow Rd,Sykesville,Carroll,21784
73019,Longfield Farm Gun Store,33265 Perryhawkin Rd,Princess Anne,Somerset,21853
1916,Lou's Sptg. Goods & Electronics,12227 Marne Lane,Bowie,Prince George's,20715
42700,M&O Enterprises,101 South Broadway,Baltimore,Baltimore City,21231
84918,Mad Firearms,624 Burr Oak Court,Prince Frederick,Calvert,20678
11123,Manchester Shooters Supply,10726 Bishop Street PO. Box 262,Bishopville,Worcester,21813
26309,Martinek Gun Shop,2232 Elliott Island Road,Vienna,Dorchester,21869
36112,"Marvel Custom Guns, Inc.",3922 Madonna Road,Jarrettsville,Harford,21084
91613,Maryland Firearm Transfers,5695 Main St,Elkridge,Howard,21075
50203,Maryland Police Supply,7028 Golden Ring Road,Baltimore,Baltimore County,21237
54416,"Maryland Small Arms Range, Inc.",9801 Fallard Ct,Upper Marlboro,Prince George's,20772
80703,Masada Tactical,1401 Reisterstown Rd,Pikesville,Baltimore,21208
51910,Mid Maryland Gun Repair,11103 Hesson Bridge Road,Frederick,Frederick,21701
803,Mike's Custom Gun Service,2211 Eastern Ave.,Baltimore,Baltimore,21220
14318,Miller's Gun Service,45805 Church Drive,Great Mills,St. Mary's,20634
6208,Miller's Gunworks,18842 Wicomico River Dr/POBox 327,Cobb Island,Charles,20625
68022,Milton J. Nock,9341 Colonial Mill Drive,Delmar,Wicomico,21875
83803,Misha & Company,10751 Falls Road Suite 119,Baltimore,Baltimore,21093
79810,MMBI,11306B Pleasant Walk Rd,Myersville,Frederick,21773
85216,"MOA Industries, LLC./DBA: Murray's Ordnance","r1m11o8ry2 Baltimore Avenue, Unit 4",Beltsville,Prince George's,20707
85414,Molly's Place,12503B Augustine Herman Hwy,Kennedyville,Kent,21620
20315,Mountain Supply,10247 Kensington Pkwy,Kensington,Montgomery,20895
90115,"MT. Universal, LLC",5609/5611 Kraft Dr,Rockville,Montgomery,20852
84504,MTB Gunworks,625 Stillwater Lane,Prince Frederick,Calvert,20678
55315,MTC Monaco Enterprises,4827 Rugby Avenue Suite 202,Bethesda,Montgomery,20814
86016,MTS Enterprise,806 Maple Avenue,Laurel,Prince George's,20707
74002,"Multiparts and Services, Inc",5647 Belle Grove Rd,Baltimore,Anne Arundel,21225
78220,Murf's Locked and Loaded Firearms,31079 Skipton Cordova Rd,Cordova,Talbot,21625
14221,Murray's Sporting Center,101 E. Sunset Ave,Williamsport,Washington,21795
